chirp_mass_true,mass_ratio_true,chirp_mass_pred,mass_ratio_pred,sigma_chirp_mass_pred,sigma_mass_ratio_pred,chirp_mass_residual,mass_ratio_residual,chirp_mass_zscore,mass_ratio_zscore,snr
1.2161179,0.6054569,1.4076757,0.865039,0.45563903,0.121990405,0.19155788,0.2595821,0.42041588,2.1278894,22.05302
1.6653172,0.79797477,1.4342711,0.82006013,0.554802,0.15422752,-0.23104608,0.022085369,-0.41644782,0.14319992,41.95068
1.5068101,0.8963405,1.4732546,0.85636586,0.4532436,0.12999497,-0.033555508,-0.03997463,-0.074034154,-0.30750903,35.749702
0.912448,0.9700221,1.0747688,0.8653865,0.24289103,0.11462285,0.1623208,-0.1046356,0.6682865,-0.91286856,32.139503
1.0900507,0.6726237,1.3065783,0.81413394,0.39613315,0.15659608,0.21652758,0.14151025,0.546603,0.90366405,31.206448
1.6409867,0.6774353,1.7653792,0.89480567,0.5078154,0.10369768,0.12439251,0.21737039,0.24495615,2.0961933,41.282032
1.246753,0.7539826,1.3027589,0.8159013,0.34366193,0.15103348,0.056005955,0.061918676,0.16296816,0.40996656,12.769812
1.8169248,0.76501364,1.529587,0.82775694,0.32784864,0.13568202,-0.28733778,0.062743306,-0.87643427,0.46242905,9.406274
1.9153717,0.8614699,1.2365271,0.80724096,0.2709815,0.14700015,-0.6788446,-0.05422896,-2.5051327,-0.3689041,27.98624
1.733784,0.76512796,1.5688651,0.8489212,0.4619712,0.12734161,-0.1649189,0.08379322,-0.35698956,0.6580192,39.997314
1.3889338,0.5937512,0.9732907,0.895028,0.17970031,0.09241399,-0.4156431,0.3012768,-2.3129792,3.2600777,30.775131
1.332107,0.56655437,1.1220361,0.82517004,0.20684116,0.13066898,-0.21007085,0.25861567,-1.0156144,1.9791665,39.250385
1.3302313,0.44717833,1.2532299,0.87279075,0.4188037,0.11973085,-0.07700145,0.42561242,-0.1838605,3.554743,33.119755
1.7768598,0.97604644,1.337506,0.85226375,0.42959225,0.12811358,-0.4393537,-0.123782694,-1.0227226,-0.9661949,32.73552
1.0123084,0.8259632,1.4345288,0.8512957,0.48898685,0.13105574,0.42222047,0.02533251,0.86345977,0.19329569,8.715919
1.6700779,0.764318,1.2599524,0.7769391,0.2622939,0.17216754,-0.4101255,0.012621105,-1.5636104,0.07330711,17.775787
2.032994,0.94194317,1.4057741,0.8463188,0.52290803,0.13419372,-0.6272199,-0.09562439,-1.1994842,-0.7125847,21.404255
1.430938,0.9161984,1.5278332,0.788095,0.2770549,0.15395729,0.09689522,-0.12810338,0.3497329,-0.8320708,26.502113
1.6310707,0.7970628,1.173613,0.9401041,0.53680027,0.08922004,-0.45745778,0.14304131,-0.85219365,1.6032419,8.680771
1.3103726,0.57760483,1.1971395,0.80345714,0.22900751,0.14419867,-0.11323309,0.22585231,-0.49445143,1.566258,23.3354
1.6154673,0.7892853,1.6002051,0.9180306,0.73690015,0.09520239,-0.015262246,0.12874532,-0.020711416,1.3523328,12.844713
1.6488682,0.70188075,1.372499,0.8245642,0.37992555,0.14219937,-0.2763692,0.122683465,-0.7274299,0.8627568,34.083527
1.8212252,0.7728889,1.2344797,0.8288598,0.29688597,0.14288972,-0.5867455,0.055970907,-1.9763329,0.391707,37.43943
1.6571045,0.7320631,1.6284016,0.82961667,0.31790677,0.1316791,-0.028702855,0.09755355,-0.09028702,0.74084306,24.058155
1.5653044,0.5426666,1.3556066,0.85258204,0.49498636,0.13216412,-0.20969784,0.30991542,-0.42364368,2.3449285,17.660442
1.8625555,0.809619,1.3343202,0.85451794,0.38891828,0.130234,-0.5282353,0.044898927,-1.3582168,0.3447558,16.356396
1.2725084,0.79330516,1.4437051,0.7673056,0.2954456,0.17776679,0.1711967,-0.025999546,0.5794525,-0.14625649,43.085083
1.3833617,0.8134526,1.5264587,0.8329693,0.427956,0.14019518,0.14309704,0.019516706,0.33437324,0.13921097,21.778341
1.2371578,0.5564528,1.2174499,0.86872864,0.34341118,0.11718154,-0.019707918,0.31227583,-0.057388693,2.6648893,30.271076
1.7858741,0.8826904,1.2733623,0.83741665,0.4573326,0.1449578,-0.51251185,-0.04527378,-1.1206545,-0.31232387,21.746944
1.699406,0.95404005,1.1098901,0.9455756,0.46271497,0.08324066,-0.5895159,-0.008464456,-1.2740369,-0.10168655,49.585293
1.9097748,0.9118699,1.418796,0.80161685,0.3144931,0.15673001,-0.49097884,-0.110253036,-1.5611752,-0.70345837,36.518494
1.2430935,0.5432291,1.43206,0.8494763,0.5647559,0.13763253,0.18896651,0.30624717,0.33459854,2.2251074,19.946077
1.4706714,0.85920197,1.5466222,0.7956806,0.2191569,0.14531006,0.07595074,-0.063521385,0.34655875,-0.43714374,41.174816
1.3766848,0.82021004,1.2878151,0.8204041,0.38793868,0.14658271,-0.08886969,0.00019407272,-0.2290818,0.001323981,36.71959
1.3643128,0.7726997,1.4505816,0.8620345,0.45703885,0.12952211,0.08626878,0.089334786,0.1887559,0.6897261,25.907642
