chirp_mass_true,mass_ratio_true,chirp_mass_pred,mass_ratio_pred,sigma_chirp_mass_pred,sigma_mass_ratio_pred,chirp_mass_residual,mass_ratio_residual,chirp_mass_zscore,mass_ratio_zscore,snr
1.2161179,0.6054569,1.1940649,0.7564804,0.015235039,0.13458465,-0.022053003,0.1510235,-1.4475186,1.122145,22.05302
1.6653172,0.79797477,1.7206266,0.8064842,0.012921088,0.10516511,0.055309415,0.008509457,4.280554,0.08091521,41.95068
1.5068101,0.8963405,1.5255125,0.73972636,0.011209394,0.14730735,0.018702388,-0.15661412,1.6684567,-1.0631793,35.749702
0.912448,0.9700221,0.8472891,0.9902841,0.03055321,0.04435181,-0.0651589,0.020262003,-2.1326368,0.45684728,32.139503
1.0900507,0.6726237,1.0861506,0.8023478,0.013128048,0.10647392,-0.0039000511,0.12972409,-0.29707778,1.2183648,31.206448
1.6409867,0.6774353,1.6936245,0.793133,0.0134680355,0.11461742,0.052637815,0.11569774,3.9083514,1.0094254,41.282032
1.246753,0.7539826,1.2471224,0.78020674,0.20679477,0.16564886,0.0003694296,0.026224136,0.0017864552,0.1583116,12.769812
1.8169248,0.76501364,1.5759478,0.8352605,0.31717694,0.12857501,-0.24097705,0.070246875,-0.7597559,0.54634935,9.406274
1.9153717,0.8614699,1.9573336,0.89592314,0.01664855,0.058979813,0.04196191,0.034453213,2.5204544,0.58415264,27.98624
1.733784,0.76512796,1.7928712,0.8345399,0.0140754245,0.0902103,0.059087276,0.06941193,4.1979036,0.7694457,39.997314
1.3889338,0.5937512,1.3686774,0.7193465,0.014238676,0.16298068,-0.0202564,0.12559533,-1.4226322,0.77061486,30.775131
1.332107,0.56655437,1.3282344,0.7221658,0.010182134,0.15823871,-0.0038725138,0.15561146,-0.3803244,0.9833969,39.250385
1.3302313,0.44717833,1.3217468,0.72092545,0.011764795,0.16077457,-0.008484483,0.27374712,-0.7211756,1.7026767,33.119755
1.7768598,0.97604644,1.8470345,0.85506403,0.014042089,0.078893125,0.070174694,-0.12098241,4.997454,-1.5334975,32.73552
1.0123084,0.8259632,1.390542,0.8572252,0.4937643,0.12740815,0.37823367,0.03126198,0.76602066,0.24536878,8.715919
1.6700779,0.764318,1.6637437,0.7869167,0.053134643,0.12679288,-0.0063341856,0.022598684,-0.119210094,0.17823307,17.775787
2.032994,0.94194317,2.1003504,0.9658767,0.039002404,0.03901558,0.06735635,0.02393353,1.7269794,0.6134352,21.404255
1.430938,0.9161984,1.4483061,0.7245174,0.01725305,0.16178791,0.017368078,-0.19168097,1.0066671,-1.1847669,26.502113
1.6310707,0.7970628,1.1969117,0.9272274,0.517685,0.09555379,-0.43415904,0.13016456,-0.8386549,1.3622124,8.680771
1.3103726,0.57760483,1.3012236,0.72856444,0.020721648,0.15668947,-0.009148955,0.15095961,-0.4415168,0.9634318,23.3354
1.6154673,0.7892853,1.6551914,0.8447391,0.3881521,0.12023079,0.03972411,0.055453777,0.102341615,0.46122777,12.844713
1.6488682,0.70188075,1.7124131,0.8038814,0.013154735,0.106501274,0.06354487,0.102000654,4.83057,0.95774114,34.083527
1.8212252,0.7728889,1.8764744,0.8685329,0.014240944,0.0728297,0.055249214,0.095644,3.8796034,1.3132554,37.43943
1.6571045,0.7320631,1.7182832,0.80680037,0.015789405,0.10735583,0.061178684,0.07473725,3.874667,0.69616383,24.058155
1.5653044,0.5426666,1.5682468,0.76233286,0.051566813,0.14275508,0.002942443,0.21966624,0.057060786,1.538763,17.660442
1.8625555,0.809619,1.6600986,0.8603325,0.32805097,0.114115335,-0.20245695,0.05071348,-0.6171509,0.44440547,16.356396
1.2725084,0.79330516,1.2609606,0.7219659,0.0096288035,0.15705481,-0.011547804,-0.07133925,-1.1992979,-0.45423153,43.085083
1.3833617,0.8134526,1.3710735,0.709403,0.021145089,0.17638335,-0.012288213,-0.10404962,-0.5811379,-0.58990616,21.778341
1.2371578,0.5564528,1.2265362,0.7409795,0.011407011,0.1453331,-0.010621667,0.18452668,-0.9311525,1.2696811,30.271076
1.7858741,0.8826904,1.8393328,0.85207975,0.019238302,0.082247645,0.05345869,-0.03061068,2.7787633,-0.37217698,21.746944
1.699406,0.95404005,1.7493341,0.81269574,0.012264831,0.10207698,0.04992807,-0.14134431,4.0708323,-1.3846835,49.585293
1.9097748,0.9118699,1.9732406,0.90311754,0.016274553,0.05741373,0.06346583,-0.008752346,3.8996975,-0.15244342,36.518494
1.2430935,0.5432291,1.2504674,0.7305587,0.029193196,0.16063887,0.007373929,0.18732959,0.25259066,1.1661536,19.946077
1.4706714,0.85920197,1.5047363,0.73601735,0.011051718,0.14902431,0.03406489,-0.12318462,3.0823162,-0.8266076,41.174816
1.3766848,0.82021004,1.3784798,0.7186856,0.011646507,0.16228014,0.0017950535,-0.10152441,0.15412804,-0.6256121,36.71959
1.3643128,0.7726997,1.3633012,0.710861,0.0200427,0.17386179,-0.00101161,-0.061838686,-0.05047274,-0.35567728,25.907642
1.3466122,0.47930422,1.3463039,0.7176684,0.013136357,0.1649928,-0.00030827522,0.23836419,-0.02346733,1.4446945,27.297493
1.1299076,0.64501494,1.1572348,0.8156303,0.21471718,0.13561425,0.02732718,0.17061538,0.12727058,1.2580934,12.264023
1.7797832,0.82123446,1.8060185,0.8372406,0.01809383,0.08808533,0.026235223,0.016006112,1.449954,0.18171144,23.46577
1.8786354,0.88832414,1.9556446,0.89602876,0.01720702,0.06059132,0.0770092,0.0077046156,4.4754524,0.12715708,36.510815
1.278714,0.84131134,1.2652904,0.7273847,0.010122674,0.15372644,-0.013423562,-0.11392665,-1.3260885,-0.7410999,43.23
1.5547876,0.65334857,1.5875754,0.75893074,0.012532844,0.1351119,0.0327878,0.10558218,2.61615,0.78144246,41.52654
1.3320625,0.82930964,1.3116841,0.7156638,0.019593267,0.171419,-0.020378351,-0.11364585,-1.0400691,-0.6629712,27.072277
