chirp_mass_true,mass_ratio_true,chirp_mass_pred,mass_ratio_pred,sigma_chirp_mass_pred,sigma_mass_ratio_pred,chirp_mass_residual,mass_ratio_residual,chirp_mass_zscore,mass_ratio_zscore,snr
1.3557266,0.47208208,1.6310003,0.72907287,0.35023406,0.16461952,0.27527368,0.2569908,0.7859706,1.5611198,8.938167
1.4104075,0.5088831,1.6453516,0.7239541,0.45114353,0.1625611,0.2349441,0.21507096,0.5207746,1.3230162,5.138704
1.533879,0.98832357,1.382904,0.72286254,0.24301517,0.1647549,-0.15097499,-0.26546103,-0.6212575,-1.6112481,7.9872
1.3558598,0.6892798,1.7797053,0.7255082,0.35034993,0.16431095,0.42384553,0.03622842,1.2097777,0.22048694,9.853811
1.7240841,0.8223532,1.5287404,0.7215084,0.336894,0.16531979,-0.19534373,-0.1008448,-0.5798374,-0.60999835,5.627101
1.3259449,0.51432073,1.5098171,0.72405326,0.1059495,0.16241683,0.18387222,0.20973253,1.7354704,1.2913227,7.691458
1.3238338,0.46430796,1.425127,0.7290066,0.34074992,0.16463825,0.101293206,0.26469862,0.29726553,1.607759,7.8366017
1.1837913,0.5658214,1.2152832,0.7244546,0.21972378,0.16610491,0.031491876,0.15863317,0.14332484,0.9550179,5.133167
1.1723042,0.87426335,1.945966,0.7190165,0.19303256,0.16565943,0.77366185,-0.15524685,4.0079346,-0.9371447,8.940848
1.9004236,0.7830287,1.7166135,0.7307305,0.42988676,0.16344567,-0.18381011,-0.052298248,-0.42757797,-0.3199733,5.349266
0.89662176,0.94721067,1.511941,0.7349931,0.4513208,0.16282067,0.6153192,-0.21221757,1.3633744,-1.3033823,6.592713
1.7552849,0.95903134,1.7855632,0.7201294,0.161951,0.1654034,0.030278325,-0.23890197,0.18695979,-1.4443595,6.116071
1.6992685,0.9744353,1.6581079,0.7309068,0.40815243,0.16224703,-0.041160583,-0.24352854,-0.100846104,-1.5009738,9.674212
1.9300358,0.90348333,1.5537691,0.73235536,0.39340854,0.16429573,-0.37626672,-0.17112797,-0.95642745,-1.041585,11.319042
1.8636028,0.9295453,1.502713,0.7265708,0.38047293,0.1651224,-0.3608898,-0.2029745,-0.9485295,-1.2292366,5.2242675
1.9647608,0.8668376,1.7741842,0.72639585,0.30214036,0.16297464,-0.19057655,-0.14044178,-0.63075507,-0.86174005,5.2609596
1.5651473,0.6833849,1.6863562,0.72020894,0.19412811,0.16424528,0.121208906,0.036824048,0.6243759,0.22420156,15.132908
1.5628856,0.7592916,1.8125066,0.72790456,0.24753016,0.1641562,0.24962091,-0.03138703,1.0084465,-0.19120222,5.154116
1.5215096,0.714774,1.5510348,0.7251307,0.32126874,0.16379684,0.02952516,0.010356665,0.09190176,0.06322872,5.4356165
1.4828546,0.65199375,1.4831378,0.731482,0.42260456,0.16406524,0.00028324127,0.07948828,0.0006702277,0.48449188,18.64011
1.0818568,0.83783734,1.7597529,0.7274445,0.14240733,0.16271138,0.677896,-0.11039281,4.7602606,-0.6784578,5.287247
1.5554932,0.5822083,1.3730472,0.729988,0.23794611,0.16552529,-0.182446,0.1477797,-0.7667535,0.8927923,14.6404915
1.6645339,0.6738939,1.0234513,0.7291521,0.18666698,0.16444825,-0.6410825,0.055258155,-3.4343648,0.33602154,11.824163
1.1325867,0.67047143,1.8680207,0.7227534,0.09935934,0.1656468,0.73543394,0.052281976,7.4017596,0.3156232,10.509473
1.3464432,0.49805847,1.916909,0.7306983,0.3113631,0.16390279,0.5704658,0.23263982,1.8321561,1.4193769,7.412465
