chirp_mass_true,mass_ratio_true,chirp_mass_pred,mass_ratio_pred,sigma_chirp_mass_pred,sigma_mass_ratio_pred,chirp_mass_residual,mass_ratio_residual,chirp_mass_zscore,mass_ratio_zscore,snr
1.2161179,0.6054569,1.1903629,0.7670309,0.021459635,0.13571195,-0.025754929,0.161574,-1.2001568,1.1905658,22.05302
1.6653172,0.79797477,1.7215412,0.81280506,0.014551686,0.09465489,0.05622399,0.014830291,3.863744,0.1566775,41.95068
1.5068101,0.8963405,1.522433,0.73685855,0.013121485,0.13422015,0.015622973,-0.15948194,1.1906407,-1.1882116,35.749702
0.912448,0.9700221,0.8457475,0.9844805,0.041823167,0.06609704,-0.06670052,0.014458418,-1.5948223,0.2187453,32.139503
1.0900507,0.6726237,1.0912828,0.8071915,0.018144533,0.11655877,0.0012321472,0.1345678,0.067907356,1.154506,31.206448
1.6409867,0.6774353,1.7025294,0.8017992,0.0150164245,0.10054801,0.06154275,0.1243639,4.0983624,1.2368609,41.282032
1.246753,0.7539826,1.2420881,0.7738354,0.17091168,0.15312102,-0.004664898,0.019852817,-0.027294202,0.12965442,12.769812
1.8169248,0.76501364,1.60218,0.8211035,0.29289457,0.12349371,-0.2147448,0.056089878,-0.73318124,0.4541922,9.406274
1.9153717,0.8614699,1.9566214,0.9026593,0.018155107,0.058341555,0.041249752,0.041189373,2.2720742,0.706004,27.98624
1.733784,0.76512796,1.7839968,0.83871686,0.015353093,0.08329826,0.05021286,0.07358891,3.2705371,0.8834387,39.997314
1.3889338,0.5937512,1.3668946,0.722702,0.017853284,0.153837,-0.022039175,0.12895083,-1.2344606,0.8382303,30.775131
1.332107,0.56655437,1.3268752,0.7193483,0.012752495,0.15321061,-0.005231738,0.15279394,-0.41025212,0.9972804,39.250385
1.3302313,0.44717833,1.3179536,0.7222365,0.014577839,0.15423721,-0.012277722,0.27505818,-0.8422183,1.7833451,33.119755
1.7768598,0.97604644,1.8389269,0.85934675,0.01567263,0.07467316,0.06206715,-0.116699696,3.9602258,-1.5628064,32.73552
1.0123084,0.8259632,1.4082155,0.85866326,0.47304866,0.11844661,0.39590716,0.03270006,0.83692694,0.27607426,8.715919
1.6700779,0.764318,1.6625314,0.7878641,0.062733255,0.120672524,-0.007546544,0.0235461,-0.12029575,0.19512396,17.775787
2.032994,0.94194317,2.0991147,0.96992147,0.04676033,0.04597079,0.066120625,0.027978301,1.4140325,0.6086104,21.404255
1.430938,0.9161984,1.454834,0.7248845,0.021511396,0.1520698,0.023895979,-0.19131386,1.110852,-1.258066,26.502113
1.6310707,0.7970628,1.1907192,0.9297472,0.4390054,0.09552367,-0.4403515,0.13268441,-1.0030662,1.3890213,8.680771
1.3103726,0.57760483,1.3020563,0.7310472,0.025800439,0.1526337,-0.008316278,0.15344238,-0.3223309,1.0052983,23.3354
1.6154673,0.7892853,1.6555722,0.8451649,0.39580587,0.11153134,0.040104866,0.055879593,0.10132459,0.50102144,12.844713
1.6488682,0.70188075,1.7136831,0.809976,0.014410183,0.09478737,0.064814925,0.10809523,4.4978557,1.140397,34.083527
1.8212252,0.7728889,1.8711584,0.87156355,0.0153989205,0.069815814,0.049933195,0.098674655,3.2426426,1.4133568,37.43943
1.6571045,0.7320631,1.7212197,0.81299156,0.017705504,0.09821301,0.06411517,0.080928445,3.6211998,0.8240094,24.058155
1.5653044,0.5426666,1.5571573,0.76062596,0.060976923,0.13764562,-0.0081471205,0.21795934,-0.1336099,1.5834819,17.660442
