M_chirp_true,M_ratio_true,M_chirp_pred,M_ratio_pred,sigma_M_chirp_pred,sigma_M_ratio_pred
1.5356314,0.76848924,1.462744,0.8399536,0.71307105,0.13187991
1.78968,0.70051014,1.2322731,0.8059159,0.4065537,0.13566637
1.4488125,0.9274052,1.4615629,0.7784673,0.40435922,0.1534585
1.6060301,0.8069926,1.5629449,0.80549246,0.4657547,0.13543428
1.4813675,0.52589965,1.2077036,0.8261817,0.33837688,0.122649334
1.6845636,0.8341072,1.2203314,0.80082387,0.40121198,0.13873112
1.1561015,0.62905765,1.3776968,0.7613002,0.35138658,0.16173531
1.0573584,0.8237059,1.1637757,0.8212213,0.2679554,0.12119691
1.5904406,0.8690732,1.3928363,0.80609596,0.43941593,0.1563054
1.3837866,0.79998857,1.3184645,0.7648095,0.31246844,0.14627957
1.4716018,0.5589005,1.3745191,0.7272166,0.2294978,0.16338852
1.5048298,0.550404,1.6779358,0.81175,0.3824678,0.11731318
1.6718031,0.79340327,1.126236,0.8188057,0.24740815,0.12387092
0.9793701,0.81329876,1.3507485,0.7321232,0.2282871,0.15364899
2.0813115,0.97538644,1.3435173,0.75115216,0.33373266,0.15543458
1.7636565,0.85485035,1.2942665,0.77237785,0.24264689,0.13826728
1.5690166,0.6518476,1.3654838,0.77547157,0.31491128,0.14279594
1.4395208,0.9165645,1.489454,0.78371704,0.36449605,0.15127717
1.8092073,0.8745885,1.4558892,0.7701695,0.30316776,0.14866483
1.8391817,0.95967454,1.696569,0.80256945,0.32147378,0.12336897
1.768935,0.83217746,1.3969786,0.71977717,0.20601696,0.16752943
1.3065679,0.6327597,1.051523,0.830965,0.11665387,0.10737696
1.3170217,0.6168958,1.3340452,0.7058078,0.13798474,0.16045834
1.0887761,0.74144435,1.2085278,0.7263427,0.11510243,0.15252492
1.6305274,0.79925334,1.5019829,0.7555326,0.31118268,0.15301381
1.3278928,0.8261263,1.2410083,0.7596169,0.2001533,0.14409786
1.2589428,0.8467739,1.425694,0.7233242,0.23757009,0.1653274
1.4262546,0.69603807,1.6494832,0.8202999,0.44368553,0.13240391
1.6431509,0.7972135,1.3699353,0.74592036,0.29925057,0.15936892
1.7145357,0.85277545,1.3723874,0.7892137,0.5386172,0.15219292
1.8593956,0.9208572,1.3684127,0.7852381,0.38122553,0.14596444
1.4477015,0.9399215,1.6844025,0.89000493,0.70905966,0.09564554
1.150534,0.7055025,1.415808,0.75607854,0.3578121,0.16645588
1.1690035,0.58949023,1.1964192,0.78960913,0.27269918,0.13675123
1.4173448,0.83150315,1.2808499,0.7754341,0.33712715,0.1496689
1.6224633,0.7104732,1.4710479,0.7307983,0.2652397,0.16271457
1.2770915,0.9751884,1.3508687,0.7669866,0.41981632,0.1603884
1.7159462,0.7453933,1.4783537,0.79225874,0.3827409,0.14631358
1.860411,0.98494595,1.2162082,0.7585233,0.2164004,0.14427918
1.5499127,0.81149673,1.34863,0.83412683,0.37582985,0.13646503
1.1506516,0.60483724,1.3061571,0.7250073,0.18444444,0.15545098
1.0398374,0.7742641,1.4211876,0.8257221,0.5202128,0.13684817
1.3605884,0.5282779,1.4204986,0.79770666,0.42935196,0.1455078
1.2515875,0.84805804,1.1767019,0.8011236,0.35875753,0.1294332
2.1151145,0.984523,1.0712368,0.83384544,0.24427047,0.11888367
1.5283691,0.62452286,1.1111879,0.77984905,0.11255412,0.12761894
1.8922524,0.89561176,1.184849,0.7653396,0.16616811,0.13901176
1.6816667,0.86322546,1.385824,0.84695596,0.63018125,0.13253926
1.3981274,0.77709115,1.2503083,0.76841676,0.18678632,0.13905984
1.7043209,0.62771374,1.4156508,0.77226114,0.34652218,0.15646888
1.9041055,0.79047626,1.6274369,0.83371526,0.7648276,0.121397346
1.8257192,0.844047,1.4903007,0.78440666,0.42634,0.15570748
1.6587429,0.8271295,1.0370684,0.8154489,0.1915971,0.12111439
1.5593069,0.9581005,1.3987584,0.80991894,0.43343255,0.14847831
1.6370369,0.9176531,1.7284381,0.8324186,0.3452501,0.114298575
1.432535,0.5398979,1.2656777,0.7768847,0.28355473,0.14376843
1.7595415,0.8658794,2.0965848,0.9584164,0.19810249,0.058758307
1.2630153,0.8055786,1.2421641,0.85991937,0.40662986,0.1168969
1.3439611,0.41912958,1.5111928,0.8446093,0.6433319,0.111339405
1.3381066,0.9224593,1.4116747,0.7310854,0.26481974,0.16161516
1.5371381,0.8760634,1.4658303,0.7082403,0.124031864,0.1604279
1.2026588,0.8150083,1.3274479,0.7050414,0.16161056,0.16269796
1.8018014,0.84111685,1.3766348,0.77996635,0.33229116,0.14110033
1.7036769,0.93116003,1.4174931,0.77245116,0.39233255,0.16623811
1.4261996,0.9656015,1.0099946,0.8333369,0.14804761,0.110343486
1.652726,0.635633,1.9244616,0.87017876,0.106607735,0.07705277
1.4965014,0.80482745,1.0811638,0.7887012,0.10774112,0.121453784
1.1589212,0.8202524,1.2390676,0.80520934,0.32513732,0.12975807
1.1019261,0.71912205,1.3037088,0.6828852,0.06295558,0.1718293
1.5481416,0.5896425,1.542078,0.7613429,0.23715755,0.1483462
1.2328799,0.8024925,1.2698913,0.77893305,0.3280468,0.1432959
1.8623345,0.95751446,1.3013055,0.77357167,0.2881056,0.13809623
1.7312587,0.9159035,1.619165,0.8532893,0.43890807,0.11611463
1.7049726,0.7851857,1.1241473,0.76754594,0.13680196,0.13414544
0.92585653,0.8857882,1.1228983,0.7830057,0.12945259,0.12724386
1.6330969,0.6286243,1.2886744,0.7709817,0.30227697,0.14803308
1.3257556,0.6017525,1.1583352,0.80830806,0.24996008,0.13281852
1.0964485,0.8518796,1.1758463,0.7588613,0.074450135,0.13236436
1.6944453,0.772983,1.66869,0.8400583,0.5622892,0.11870285
1.19773,0.88729304,1.6009841,0.8436265,0.60304415,0.119024634
1.8201303,0.81366825,1.1559999,0.80142415,0.18612601,0.12877522
1.1612313,0.9071808,1.1434333,0.77849805,0.13814625,0.1311052
1.8868209,0.9117093,1.0904311,0.7949833,0.18235661,0.12827063
1.459643,0.5503535,1.266181,0.7788839,0.24976821,0.14400458
1.4255376,0.8439296,1.2583783,0.74426633,0.17616676,0.15033036
1.3307426,0.5197106,1.2603805,0.7611771,0.2668603,0.14246598
1.6796134,0.9951781,1.3998368,0.8318827,0.4369151,0.12668608
1.2695249,0.67939454,1.3424788,0.80587715,0.40560105,0.14069778
1.2272859,0.5530545,1.299834,0.73756444,0.20428814,0.15602468
1.5634083,0.7299392,1.4376783,0.70207095,0.12863992,0.16145468
1.3126402,0.9442877,1.2498951,0.80413866,0.40859267,0.1476116
1.4945754,0.6087583,1.2651947,0.73210263,0.16664489,0.15197808
1.9830242,0.963181,1.3515391,0.7173396,0.21329825,0.16470948
1.1555903,0.88455206,1.4629266,0.69237053,0.09231826,0.16787021
1.2082926,0.5754381,1.4363272,0.7951479,0.4766996,0.14787501
1.2362127,0.6617144,1.3010724,0.80197966,0.31571594,0.1291713
1.8747599,0.9079913,1.1869769,0.80568063,0.191305,0.12916623
1.4507978,0.77179575,1.2406998,0.8150842,0.3325521,0.13009892
1.4532828,0.56063724,1.3406568,0.7324947,0.28292075,0.1589317
1.8239439,0.8871577,1.4646652,0.77791965,0.43819806,0.1648821
1.2933806,0.49882323,1.3984458,0.81609577,0.4060028,0.14019734
1.6464338,0.62891805,1.286515,0.7368101,0.29702643,0.16094331
2.1006577,0.9419739,1.2605023,0.7335154,0.15772241,0.14954965
1.3063294,0.84470767,1.3039641,0.7161592,0.17032813,0.16118322
1.0548861,0.8900732,1.3177364,0.7394783,0.2498101,0.15905981
1.726563,0.84534216,1.524504,0.80903035,0.45070136,0.13536802
1.4669827,0.79455423,1.3860471,0.8256181,0.5152367,0.1374912
1.0844977,0.945965,1.4837334,0.7412926,0.15147144,0.14288108
1.5651219,0.6914805,1.575233,0.7730313,0.2580179,0.13654786
1.5904754,0.58144456,1.3449373,0.73298967,0.21921119,0.1657438
1.4101146,0.80451363,1.140175,0.8104968,0.1863462,0.122495055
1.2962415,0.93354076,1.1369151,0.8290152,0.3845276,0.12531282
1.3527101,0.83721256,1.4096882,0.76058877,0.3254654,0.15251155
1.1786335,0.7985996,1.2785141,0.7508572,0.23783752,0.15024088
1.2158837,0.8998688,1.5119388,0.7411001,0.31321287,0.15377104
1.564482,0.5952571,1.2178977,0.76092625,0.2155888,0.14685833
1.3515538,0.6444253,1.6095204,0.80283314,0.3678568,0.13983381
1.3218653,0.53166056,1.1192257,0.8097101,0.21829285,0.12399117
2.0156286,0.89043117,1.3037686,0.7426826,0.20337586,0.15275219
1.3378943,0.67520195,1.2500095,0.7790911,0.2503442,0.14131056
1.2957793,0.44991815,1.3612561,0.7707407,0.4939156,0.1682094
1.8706111,0.8463422,1.5482252,0.76394624,0.40497193,0.1539953
1.0869597,0.8875172,1.2792442,0.76790804,0.306485,0.14908443
0.94641006,0.97695434,1.3318834,0.7035558,0.19275033,0.16800848
1.7316306,0.8839955,1.3645749,0.7466468,0.30031335,0.1586991
1.1671228,0.82596815,1.2313089,0.80460614,0.31634822,0.13289306
1.3376968,0.92497426,1.5881591,0.8160974,0.457045,0.13515432
1.372664,0.577541,1.1666546,0.7544998,0.116152644,0.13837224
1.9406712,0.8332447,1.6693048,0.862874,0.68019265,0.11721774
1.7138803,0.9199249,1.3942063,0.74805784,0.2780064,0.15518746
1.3969206,0.6639261,1.4812553,0.7162578,0.1277548,0.15839598
1.6404053,0.94331884,1.4186821,0.76347625,0.34241557,0.16378991
1.6384386,0.6740616,1.143827,0.8438644,0.38756752,0.11716763
1.2607661,0.905951,1.3101673,0.71460795,0.12785047,0.15423128
1.3005186,0.99577785,1.5445762,0.861689,0.29736856,0.09744933
2.0439236,0.9206622,1.3654125,0.7217046,0.24327675,0.16415116
1.3694551,0.45939404,1.723613,0.90593886,0.5979343,0.08988767
1.2499388,0.83934253,1.4609499,0.78021413,0.3744225,0.1556883
1.4324311,0.88067335,1.116735,0.80481166,0.16581272,0.12404941
1.6637945,0.94897705,1.3899705,0.731747,0.2984546,0.16670828
1.6649371,0.89981085,1.3412569,0.7633424,0.3015284,0.15663631
1.4874023,0.8743061,1.2405865,0.78436995,0.38543352,0.15366246
1.0995967,0.8495977,1.4475341,0.7939357,0.42837086,0.14478439
1.8254876,0.7360213,1.3500073,0.77425355,0.34843007,0.14827612
1.3321596,0.6913657,1.5582612,0.7642629,0.25698063,0.14226174
1.685258,0.847516,1.495398,0.75790536,0.2993274,0.1502431
1.5934141,0.5471727,1.1653899,0.7991779,0.22557996,0.12999599
1.5630233,0.562042,1.2905946,0.7147916,0.13216695,0.15960604
1.331739,0.4658701,1.4724245,0.84915376,0.62981534,0.12297417
1.4217337,0.8876519,1.3378453,0.8247589,0.44138277,0.13187303
1.432896,0.6834696,1.179756,0.7629842,0.12231836,0.13302803
1.3386291,0.96929514,1.3039117,0.7523824,0.3264708,0.15303743
1.8114196,0.9748965,1.1543723,0.8061823,0.27983615,0.12948222
1.386361,0.69596374,1.3792248,0.7384176,0.21418412,0.15900257
1.5012417,0.730602,1.1459877,0.8213907,0.28958234,0.12411349
1.0654576,0.74845976,1.644927,0.7857287,0.1846832,0.12923096
1.8637862,0.80976075,1.4235535,0.79621905,0.3753099,0.14250597
1.5605359,0.7763942,1.5664043,0.82627046,0.53473574,0.13250302
1.5206146,0.5577161,1.2493744,0.880572,0.75603837,0.11536395
2.0695188,0.9067391,1.110122,0.75919855,0.056262042,0.12770386
1.5524268,0.6377389,1.2657769,0.8147194,0.45601293,0.13425776
1.5833244,0.7041306,1.3959751,0.7611467,0.3419868,0.15356527
1.1651405,0.69730246,1.6161909,0.7917955,0.26337662,0.12602083
1.1331313,0.6124979,1.157594,0.7588241,0.1711016,0.13985562
1.514216,0.9166056,1.2875443,0.7369623,0.24410617,0.1595049
1.6059315,0.72399384,1.5441747,0.8052633,0.40912682,0.14027083
1.1983798,0.7278031,1.0747,0.8402831,0.25627598,0.11879465
1.4341303,0.8587764,1.215673,0.7738114,0.20181374,0.13969868
1.6375922,0.83420306,1.3333654,0.7460221,0.2311365,0.15412883
1.1896943,0.6643093,1.3051229,0.6840503,0.081758335,0.17247973
1.5583354,0.78577554,1.5304632,0.82278055,0.50734586,0.14015865
