M_chirp_true,M_ratio_true,M_chirp_pred,M_ratio_pred,sigma_M_chirp_pred,sigma_M_ratio_pred
1.5356314,0.76848924,1.5606067,0.71793324,0.0068657952,0.13673519
1.78968,0.70051014,1.8293207,0.8198809,0.008916109,0.08944125
1.4488125,0.9274052,1.4367225,0.7014637,0.08738021,0.164336
1.6060301,0.8069926,1.5698764,0.7815783,0.37018207,0.14449729
1.4813675,0.52589965,1.4571333,0.73208326,0.1094359,0.14601769
1.6845636,0.8341072,1.7006233,0.7817629,0.04542697,0.11761041
1.1561015,0.62905765,1.2440538,0.76801556,0.19926034,0.13944636
1.0573584,0.8237059,1.0041585,0.8206397,0.025932563,0.097766176
1.5904406,0.8690732,1.4611878,0.78346705,0.3554628,0.15434939
1.3837866,0.79998857,1.3528578,0.75662947,0.29377893,0.14837277
1.4716018,0.5589005,1.4942691,0.68945235,0.008623388,0.15154956
1.5048298,0.550404,1.538737,0.7552352,0.28232017,0.14490435
1.6718031,0.79340327,1.4127572,0.80410886,0.44043952,0.1318065
0.9793701,0.81329876,1.1527905,0.7871249,0.18480796,0.12859827
2.0813115,0.97538644,1.6325648,0.86531204,0.50374615,0.10669679
1.7636565,0.85485035,1.7865474,0.8048682,0.0077679255,0.09537679
1.5690166,0.6518476,1.6039696,0.7305527,0.009268297,0.13152394
1.4395208,0.9165645,1.3979027,0.70011306,0.08154359,0.16542748
1.8092073,0.8745885,1.6835668,0.8081089,0.28615287,0.12365999
1.8391817,0.95967454,1.7133541,0.8195997,0.25765553,0.11662252
1.768935,0.83217746,1.7955086,0.8104621,0.00716755,0.09712304
1.3065679,0.6327597,1.3157425,0.6807792,0.0056328545,0.15480019
1.3170217,0.6168958,1.3291612,0.65375674,0.0065274374,0.16934317
1.0887761,0.74144435,1.1393769,0.7666268,0.09001801,0.1275923
1.6305274,0.79925334,1.6577165,0.7530756,0.00593112,0.1205122
1.3278928,0.8261263,1.3368542,0.67137,0.004834445,0.1596675
1.2589428,0.8467739,1.3847702,0.7046978,0.14558338,0.16836357
1.4262546,0.69603807,1.4384453,0.67809427,0.0048636617,0.15711543
1.6431509,0.7972135,1.6799788,0.76679194,0.0069128657,0.1157503
1.7145357,0.85277545,1.7323973,0.78212535,0.009304578,0.10737116
1.8593956,0.9208572,1.8940763,0.85891706,0.008361161,0.074706644
1.4477015,0.9399215,1.3387592,0.79477745,0.5062159,0.14590831
1.150534,0.7055025,1.3187139,0.7620834,0.3007917,0.15471733
1.1690035,0.58949023,1.1258636,0.788,0.1619607,0.12760258
1.4173448,0.83150315,1.4219577,0.67336273,0.022871895,0.16607592
1.6224633,0.7104732,1.522783,0.732507,0.18732694,0.15247385
1.2770915,0.9751884,1.2889378,0.6657707,0.01062168,0.16376911
1.7159462,0.7453933,1.7547305,0.8041523,0.024316052,0.1011168
1.860411,0.98494595,1.4418721,0.80061036,0.3947106,0.14083518
1.5499127,0.81149673,1.4528873,0.776999,0.24745537,0.14332753
1.1506516,0.60483724,1.1618934,0.7491435,0.057260804,0.13250524
1.0398374,0.7742641,1.3978541,0.8107042,0.48862863,0.14398748
1.3605884,0.5282779,1.373476,0.663144,0.005580307,0.16647819
1.2515875,0.84805804,1.2609642,0.6918644,0.025557313,0.1540018
2.1151145,0.984523,2.1639624,1.00915,0.17500633,0.03466318
1.5283691,0.62452286,1.5591025,0.7247207,0.0070738,0.13538687
1.8922524,0.89561176,1.9268322,0.87810284,0.009319369,0.066053085
1.6816667,0.86322546,1.7227879,0.78820205,0.047623716,0.11655159
1.3981274,0.77709115,1.420115,0.67103666,0.008687071,0.16513917
1.7043209,0.62771374,1.7227149,0.7891071,0.037647996,0.1157179
1.9041055,0.79047626,1.9313943,0.86823446,0.009742408,0.06654828
1.8257192,0.844047,1.8682735,0.8438861,0.009848974,0.0813903
1.6587429,0.8271295,1.6846411,0.76481014,0.006461755,0.11477508
1.5593069,0.9581005,1.5300522,0.7392974,0.07249247,0.1481411
1.6370369,0.9176531,1.6621189,0.74971765,0.023866411,0.13203046
1.432535,0.5398979,1.4507632,0.675666,0.007988596,0.15960658
1.7595415,0.8658794,1.8021765,0.8154126,0.008646482,0.091288604
1.2630153,0.8055786,1.2111788,0.74777395,0.11005939,0.1452678
1.3439611,0.41912958,1.4136167,0.79657584,0.63057625,0.13760489
1.3381066,0.9224593,1.3661633,0.655299,0.012139991,0.16935888
1.5371381,0.8760634,1.5557749,0.7129036,0.007345609,0.13579023
1.2026588,0.8150083,1.2799389,0.6874373,0.075286105,0.16324292
1.8018014,0.84111685,1.8466899,0.83071893,0.0077501596,0.08576095
1.7036769,0.93116003,1.7346466,0.7844642,0.009449291,0.10516197
1.4261996,0.9656015,1.4342608,0.6887136,0.009534295,0.15668468
1.652726,0.635633,1.8520873,0.8536405,0.14618905,0.093784414
1.4965014,0.80482745,1.4053383,0.7598255,0.1841066,0.13519454
1.1589212,0.8202524,1.1508629,0.7461249,0.012713168,0.12676932
1.1019261,0.71912205,1.2904234,0.69165206,0.0716855,0.1677432
1.5481416,0.5896425,1.5757773,0.7261749,0.0058690445,0.1329347
1.2328799,0.8024925,1.2419817,0.68781424,0.014010108,0.15324241
1.8623345,0.95751446,1.905762,0.8587614,0.009151464,0.0710387
1.7312587,0.9159035,1.6098666,0.7946458,0.4001573,0.14267877
1.7049726,0.7851857,1.7294736,0.7856363,0.0068731685,0.106907494
0.92585653,0.8857882,1.0863307,0.79914516,0.11805216,0.12073361
1.6330969,0.6286243,1.6661766,0.7525209,0.006365631,0.12103231
1.3257556,0.6017525,1.2009614,0.7645862,0.16696015,0.14094764
1.0964485,0.8518796,1.1117312,0.7616935,0.018830271,0.11881042
1.6944453,0.772983,1.7119963,0.77579916,0.012726068,0.1157306
1.19773,0.88729304,1.1646848,0.74587774,0.06307101,0.13633119
1.8201303,0.81366825,1.7625699,0.8474372,0.378284,0.100100495
1.1612313,0.9071808,1.1282136,0.7771946,0.07614728,0.12569413
1.8868209,0.9117093,1.7230592,0.88858086,0.46150798,0.08427167
1.459643,0.5503535,1.461277,0.6899319,0.04157368,0.16082405
1.4255376,0.8439296,1.4346254,0.6720722,0.0052208947,0.15978679
1.3307426,0.5197106,1.3400226,0.6507416,0.007202186,0.1731955
1.6796134,0.9951781,1.7084818,0.7760947,0.0060845218,0.1098481
1.2695249,0.67939454,1.2472272,0.75711644,0.22314051,0.1484477
1.2272859,0.5530545,1.2180104,0.7231377,0.09419164,0.14970815
1.5634083,0.7299392,1.5681934,0.7178795,0.009666817,0.13389875
1.3126402,0.9442877,1.317044,0.67263865,0.009839652,0.1641488
1.4945754,0.6087583,1.494596,0.7039628,0.04920308,0.1552554
1.9830242,0.963181,2.0401812,0.9176239,0.009516105,0.045967206
1.1555903,0.88455206,1.4278083,0.70870703,0.14781795,0.16352022
1.2082926,0.5754381,1.207042,0.7124419,0.03423483,0.1470932
1.2362127,0.6617144,1.2052758,0.74441403,0.10560807,0.14056756
1.8747599,0.9079913,1.8908525,0.8725639,0.06767551,0.07489483
1.4507978,0.77179575,1.4744794,0.69074583,0.005996393,0.15128897
1.4532828,0.56063724,1.4511161,0.6679364,0.016793326,0.16633804
1.8239439,0.8871577,1.853188,0.83613586,0.008186426,0.08540174
1.2933806,0.49882323,1.2696674,0.7199149,0.09375034,0.15566468
1.6464338,0.62891805,1.6902285,0.7681753,0.06555378,0.122023664
2.1006577,0.9419739,2.1058686,0.9693952,0.30207193,0.048901327
1.3063294,0.84470767,1.317739,0.6606016,0.021686848,0.16790812
1.0548861,0.8900732,1.1838849,0.77458185,0.21188836,0.13923652
1.726563,0.84534216,1.7502406,0.7952286,0.007171673,0.101605445
1.4669827,0.79455423,1.4831362,0.69079375,0.005648228,0.15096052
1.0844977,0.945965,1.4236441,0.75245327,0.18629712,0.14023553
1.5651219,0.6914805,1.583715,0.7430403,0.06563191,0.13806558
1.5904754,0.58144456,1.6121619,0.73819774,0.010156241,0.13250574
1.4101146,0.80451363,1.3936508,0.6930484,0.07006321,0.16390859
1.2962415,0.93354076,1.3044817,0.6658207,0.00877389,0.16292953
1.3527101,0.83721256,1.3636253,0.6521363,0.009661951,0.16932873
1.1786335,0.7985996,1.1708345,0.7477294,0.085723124,0.13694161
1.2158837,0.8998688,1.2055631,0.6876018,0.026517255,0.15200458
1.564482,0.5952571,1.585321,0.7352009,0.07091155,0.1392561
1.3515538,0.6444253,1.4926128,0.741881,0.2583961,0.16304
1.3218653,0.53166056,1.3304694,0.6663147,0.011721952,0.1659469
2.0156286,0.89043117,1.8166444,0.8739027,0.5237765,0.10039192
1.3378943,0.67520195,1.268625,0.7214534,0.11897573,0.1576884
1.2957793,0.44991815,1.2977254,0.66458523,0.011063665,0.16509885
1.8706111,0.8463422,1.905488,0.85781413,0.010373936,0.07131003
1.0869597,0.8875172,1.0511637,0.81809545,0.04647521,0.10193252
0.94641006,0.97695434,1.2708688,0.7443508,0.3105214,0.15504268
1.7316306,0.8839955,1.7616274,0.79522246,0.008489071,0.10225128
1.1671228,0.82596815,1.1220119,0.7965399,0.15761907,0.12518695
1.3376968,0.92497426,1.3322544,0.65847147,0.012856515,0.1717601
1.372664,0.577541,1.3854563,0.6613951,0.00612014,0.16650622
1.9406712,0.8332447,2.0363586,0.91852766,0.12738435,0.061386965
1.7138803,0.9199249,1.7373898,0.7999851,0.05638123,0.1111183
1.3969206,0.6639261,1.397975,0.653501,0.012467197,0.17013659
1.6404053,0.94331884,1.6626129,0.74720037,0.0068387645,0.12252091
1.6384386,0.6740616,1.598726,0.81477493,0.28234416,0.11925433
1.2607661,0.905951,1.2576611,0.68355286,0.011747791,0.15398511
1.3005186,0.99577785,1.367389,0.7393323,0.22009397,0.149572
2.0439236,0.9206622,2.1074853,0.9416569,0.059461996,0.043726087
1.3694551,0.45939404,1.5364652,0.8407588,0.48478127,0.11688649
1.2499388,0.83934253,1.2930033,0.72058743,0.12878683,0.15666088
1.4324311,0.88067335,1.2426486,0.7641451,0.1817274,0.13939199
1.6637945,0.94897705,1.6881325,0.76714146,0.0064561465,0.11401232
1.6649371,0.89981085,1.6802411,0.7688641,0.012041372,0.116267346
1.4874023,0.8743061,1.4987118,0.69022864,0.006161861,0.14883946
1.0995967,0.8495977,1.1538002,0.8148743,0.2243249,0.12288708
1.8254876,0.7360213,1.8463302,0.83984923,0.008200991,0.08479862
1.3321596,0.6913657,1.3674376,0.6708758,0.063696824,0.17384835
1.685258,0.847516,1.7147932,0.7802342,0.0064966627,0.10703728
1.5934141,0.5471727,1.3172958,0.74563825,0.18636686,0.14959796
1.5630233,0.562042,1.5861733,0.7244179,0.006332076,0.135832
1.331739,0.4658701,1.3422835,0.6709838,0.04629557,0.17967418
1.4217337,0.8876519,1.4270968,0.6857677,0.05729886,0.17217194
1.432896,0.6834696,1.444407,0.67977655,0.005542291,0.15646173
1.3386291,0.96929514,1.3545892,0.653739,0.008340777,0.17109431
1.8114196,0.9748965,1.8341954,0.8313805,0.0072656875,0.08724104
1.386361,0.69596374,1.3798275,0.7089015,0.1458236,0.1646018
1.5012417,0.730602,1.5235927,0.70108783,0.008189869,0.14774515
1.0654576,0.74845976,1.5698907,0.7894999,0.30985835,0.13348185
1.8637862,0.80976075,1.880693,0.8458957,0.008650988,0.080629855
1.5605359,0.7763942,1.5833838,0.72530603,0.0061246273,0.13276733
1.5206146,0.5577161,1.5401757,0.7184413,0.008400054,0.13999686
2.0695188,0.9067391,1.7587483,0.9301563,0.28740224,0.061935563
1.5524268,0.6377389,1.5561683,0.7443558,0.09356921,0.13724399
1.5833244,0.7041306,1.6093111,0.73734087,0.00579375,0.12843063
1.1651405,0.69730246,1.1514966,0.7315505,0.030238291,0.13763551
1.1331313,0.6124979,1.1274667,0.7644979,0.12505989,0.13359608
1.514216,0.9166056,1.4836683,0.6991076,0.077450424,0.16018905
1.6059315,0.72399384,1.5865009,0.7908081,0.24520662,0.13746125
1.1983798,0.7278031,1.1382089,0.76703906,0.05220258,0.12490578
1.4341303,0.8587764,1.4413834,0.67518467,0.011916778,0.1596247
1.6375922,0.83420306,1.6518669,0.7524887,0.01446187,0.12346902
1.1896943,0.6643093,1.2441416,0.6986845,0.036742665,0.15299305
1.5583354,0.78577554,1.5684636,0.71848196,0.0105791325,0.14102112
1.257022,0.55692774,1.2471418,0.6720889,0.014924461,0.1646102
1.1874524,0.740728,1.0943264,0.7711805,0.056999102,0.12321738
1.3371924,0.46095154,1.3365302,0.7236071,0.23079339,0.15757054
1.2895603,0.7018892,1.2433908,0.70828193,0.06559504,0.1548903
1.5350374,0.9774208,1.5449011,0.7232083,0.024045805,0.14577815
1.4639044,0.6977175,1.4410036,0.71270454,0.116543725,0.15705226
