chirp_mass_true,chirp_mass_pred,sigma_chirp_mass_pred,snr
1.8730378,1.2546018,0.1472314,14.3325227
1.1510143,1.0435768,0.18800533,11.9069272
1.4340866,1.7461842,0.5852783,16.299642300000002
1.7762028,1.741432,0.22832938,11.20222144
1.7639625,1.8403893,0.04324977,17.2980475
1.699952,1.6367877,0.18256101,12.9307294
1.3714128,1.3747073,0.012469851,18.905309000000003
1.7462583,1.2895659,0.30403018,11.7345907
1.3092222,1.1976236,0.15668632,13.526485
1.8721797,1.924075,0.06263672,12.692447600000001
1.4614973,1.4010098,0.084838234,15.3774637
1.6621687,2.119935,0.2189296,11.3149284
1.482705,1.3225482,0.44158792,11.246030600000001
1.5167601,1.540663,0.011921367,19.95338
1.8341815,1.868227,0.016519329,19.549977
1.1586872,1.1327617,0.11886822,16.656887
1.0653925,0.95511156,0.11256536,12.5581083
1.3694371,1.4565169,0.34077144,11.8963248
1.292294,1.2288831,0.073856205,13.918203
1.576134,1.5453849,0.0929048,10.99998
1.2531325,1.2453456,0.06284391,18.9977473
1.879499,1.7658795,0.31429586,16.823546
2.1307564,2.2010221,0.023474846,15.776349
1.3220714,1.3763256,0.39814657,10.08727316
1.9047012,1.7711184,0.35631558,10.7890244
1.4685107,1.4109781,0.12877196,10.8222244
1.5483062,1.4480221,0.3581448,11.3888408
1.8861492,1.7135931,0.28009394,10.49329057
1.2514304,1.2142439,0.04438782,16.257049000000002
1.7829578,1.8257952,0.046826907,10.4554679
1.8549658,1.9997112,0.045198288,16.548598
1.1902348,1.0221916,0.24951178,14.680642500000001
1.3822391,1.4160659,0.13931887,12.5910985
1.6269139,1.4697411,0.3372098,13.7880117
1.7439573,1.3328741,0.2882993,12.152856700000001
1.2729269,1.1928037,0.14614046,16.1803544
1.7649845,1.8154716,0.09005316,15.636207500000001
1.3838055,1.5726421,0.023799999,14.008569000000001
1.3996063,1.4679093,0.30062667,10.885582939999999
1.8283322,1.8450034,0.09989858,12.8643742
1.1131079,1.1077124,0.07911839,13.449463999999999
1.258075,1.16446,0.0906924,16.0166806
1.781314,1.7569346,0.0959779,12.630138
1.1107183,1.0993309,0.2014216,11.4928757
1.4622736,1.4376991,0.074526526,18.452309999999997
1.5901871,1.6221222,0.046175428,13.5887563
1.8012016,1.450063,0.22704303,12.3849908
1.4638433,1.1781346,0.3753294,10.028721327
1.0248618,1.83484,0.1237063,16.4969903
1.1879983,1.7702982,0.5962813,10.6719064
1.4760665,1.3234737,0.2844181,11.7839573
1.3160661,1.3790597,0.11141711,12.5609496
1.1549307,1.3932426,0.33205292,12.4476922
1.3664364,1.3486267,0.036580157,11.8436478
1.8584754,1.3223019,0.500378,10.9168507
1.3919555,1.3774221,0.032164413,16.54464
1.7459539,1.8154292,0.037145693,18.919601399999998
1.4778042,1.4843922,0.5290851,14.516073200000001
1.3340348,1.2609936,0.29206082,11.187804
1.4305215,1.4310017,0.056903724,13.0105922
1.7057552,1.8305457,0.082256906,10.37543062
1.6286327,1.6899183,0.015949141,16.4141536
1.3595521,1.3311535,0.031781893,17.959333
0.93502116,0.9805981,0.25766042,16.0575265
1.5544866,1.426636,0.46685264,12.987304
1.0929396,1.0268477,0.05685161,17.159325
1.0718306,1.8130997,0.09961249,12.6811147
2.0638824,1.6951262,0.42743245,10.8561931
1.4089962,1.3154464,0.39128327,12.4056569
1.8091135,1.3029186,0.31418955,12.9918227
1.4772952,1.5288365,0.041094486,18.142490000000002
1.6139961,1.3700827,0.28015205,11.618911
1.0721935,1.453732,0.3161109,10.662394
1.492805,1.1303904,0.18846245,10.1879852
1.5430477,1.5335058,0.024834836,15.639184
1.4100542,1.4641876,0.026082084,12.320356
1.7974209,1.2759984,0.22540103,10.9711099
1.3549819,1.324115,0.06965871,16.557099
1.330957,1.7022097,0.37698925,11.4028291
1.1554512,1.2443405,0.23171145,10.109069515
1.4883797,1.5356913,0.031749334,15.493729
1.8297089,1.5434154,0.3608697,10.8227575
0.91142666,1.1991812,0.36474428,10.10534904
1.0852151,1.5897913,0.3728511,13.3738208
1.1083516,1.3472104,0.3014132,10.10744151
1.8892995,1.7142521,0.33178088,10.12517215
1.2575105,1.2282084,0.072784536,10.681559
1.4234403,1.4971709,0.09165617,10.9856379
1.2561585,1.2619358,0.24375942,12.7378878
1.8875073,1.8972282,0.07575606,12.3439158
2.0592878,2.2082486,0.08943685,10.14526611
2.0226138,1.5883099,0.42525485,14.1647097
1.3089525,1.3816061,0.053288043,15.301735
1.532354,1.5439558,0.08480477,15.002505
1.7610078,1.8267381,0.018376896,11.9012822
1.6976227,1.8150663,0.023606632,17.6246554
1.3022118,1.2234917,0.32433313,11.3445549
1.5073888,1.3358623,0.33825898,10.6746245
