chirp_mass_true,chirp_mass_pred,sigma_chirp_mass_pred,chirp_mass_residual,chirp_mass_zscore
1.8730378,1.5554383,0.38629583,-0.31759953,-0.8221666
1.1510143,1.5552337,0.38643074,0.4042194,1.0460333
1.4340866,1.555234,0.3864309,0.121147394,0.31350338
1.7762028,1.5552342,0.38643062,-0.2209686,-0.5718196
1.7639625,1.555234,0.3864305,-0.20872855,-0.5401451
1.699952,1.55523,0.38643005,-0.14472198,-0.37451017
1.3714128,1.5552325,0.38643062,0.18381977,0.47568634
1.7462583,1.555438,0.38629577,-0.19082022,-0.4939744
1.3092222,1.5554391,0.386296,0.2462169,0.6373788
1.8721797,1.5552342,0.38643074,-0.31694555,-0.8201872
1.4614973,1.55523,0.3864302,0.093732715,0.24256054
1.6621687,1.5552328,0.38643062,-0.10693598,-0.2767275
1.482705,1.555234,0.38643074,0.07252896,0.18768941
1.5167601,1.5554392,0.38629594,0.038679123,0.10012821
1.8341815,1.5554383,0.3862959,-0.27874327,-0.7215796
1.1586872,1.555438,0.3862959,0.3967508,1.0270644
1.0653925,1.5552335,0.38643074,0.48984098,1.2676035
1.3694371,1.555234,0.3864309,0.18579686,0.4808023
1.292294,1.5552332,0.38643065,0.2629392,0.68043053
1.576134,1.5554391,0.386296,-0.020694852,-0.053572524
1.2531325,1.5552332,0.38643062,0.30210078,0.7817724
1.879499,1.5554388,0.38629594,-0.3240602,-0.838891
2.1307564,1.5554378,0.3862959,-0.5753186,-1.4893209
1.3220714,1.5552299,0.38643008,0.23315847,0.6033652
1.9047012,1.5554392,0.386296,-0.349262,-0.9041305
1.4685107,1.5552318,0.3864304,0.08672106,0.22441573
1.5483062,1.5554457,0.38629696,0.0071394444,0.018481752
1.8861492,1.555438,0.38629588,-0.33071113,-0.8561083
1.2514304,1.555439,0.38629594,0.3040086,0.78698367
1.7829578,1.5554397,0.38629612,-0.22751808,-0.5889732
1.8549658,1.5554392,0.386296,-0.29952657,-0.77538097
1.1902348,1.5554383,0.38629577,0.3652035,0.9453987
1.3822391,1.5554389,0.386296,0.17319977,0.44836026
1.6269139,1.555438,0.38629594,-0.07147586,-0.18502878
1.7439573,1.5554379,0.3862959,-0.18851936,-0.488018
1.2729269,1.555438,0.38629588,0.28251112,0.7313335
1.7649845,1.5554397,0.38629603,-0.20954478,-0.5424461
1.3838055,1.5552335,0.38643062,0.17142797,0.443619
1.3996063,1.555233,0.38643056,0.15562665,0.40272865
1.8283322,1.5552298,0.38643023,-0.2731024,-0.70673144
1.1131079,1.5554376,0.38629588,0.44232965,1.145054
1.258075,1.5554383,0.38629594,0.29736328,0.769781
1.781314,1.5554389,0.38629594,-0.22587514,-0.58472043
1.1107183,1.5554397,0.38629612,0.44472146,1.151245
1.4622736,1.5552329,0.38643062,0.092959285,0.24055879
1.5901871,1.5554384,0.38629588,-0.034748673,-0.08995352
1.8012016,1.5554388,0.38629606,-0.24576283,-0.6362033
1.4638433,1.5554383,0.386296,0.091594934,0.23711075
1.0248618,1.5554392,0.386296,0.5305774,1.3734996
1.1879983,1.5554394,0.38629603,0.36744106,0.95119035
1.4760665,1.555438,0.3862959,0.07937157,0.20546831
1.3160661,1.5552335,0.38643065,0.23916733,0.618914
1.1549307,1.5552335,0.38643077,0.40030277,1.0358977
1.3664364,1.5552331,0.38643065,0.18879676,0.48856568
1.8584754,1.5554383,0.38629583,-0.30303717,-0.7844692
1.3919555,1.5554379,0.3862959,0.16348243,0.42320517
1.7459539,1.5552328,0.38643077,-0.19072115,-0.49354547
1.4778042,1.5552342,0.38643056,0.07743001,0.20037238
1.3340348,1.5552294,0.38643008,0.22119462,0.5724053
1.4305215,1.5554391,0.386296,0.12491763,0.3233728
1.7057552,1.555438,0.38629577,-0.15031719,-0.38912463
1.6286327,1.5552342,0.38643065,-0.07339847,-0.18993957
1.3595521,1.5552335,0.38643068,0.19568133,0.50638145
0.93502116,1.5552335,0.38643074,0.6202123,1.6049767
1.5544866,1.5554384,0.3862959,0.00095176697,0.0024638288
1.0929396,1.5554385,0.386296,0.4624989,1.1972655
1.0718306,1.555439,0.386296,0.48360837,1.2519114
2.0638824,1.5554391,0.38629603,-0.50844324,-1.316201
1.4089962,1.555232,0.38643056,0.14623582,0.37842718
1.8091135,1.5552331,0.38643068,-0.25388038,-0.65698814
1.4772952,1.5554389,0.38629594,0.078143716,0.20228976
1.6139961,1.5552332,0.38643056,-0.058762908,-0.15206589
1.0721935,1.5552335,0.38643077,0.48303998,1.2500039
1.492805,1.555232,0.38643053,0.062427044,0.16154791
1.5430477,1.5554385,0.3862959,0.012390852,0.032076064
1.4100542,1.5552335,0.38643056,0.14517927,0.37569305
1.7974209,1.555438,0.386296,-0.24198282,-0.6264181
1.3549819,1.5552335,0.38643065,0.20025158,0.5182083
1.330957,1.5552337,0.38643077,0.22427666,0.5803799
1.1554512,1.5554373,0.38629577,0.39998615,1.0354402
1.4883797,1.5554391,0.386296,0.0670594,0.17359589
1.8297089,1.555439,0.386296,-0.27426994,-0.70999944
0.91142666,1.55544,0.38629603,0.6440133,1.6671497
1.0852151,1.5552329,0.38643077,0.4700178,1.2163053
1.1083516,1.5552342,0.38643074,0.4468826,1.1564364
1.8892995,1.5552324,0.38643038,-0.3340671,-0.8644949
1.2575105,1.5552316,0.38643008,0.29772103,0.77043957
1.4234403,1.5552335,0.38643065,0.13179314,0.3410525
1.2561585,1.555438,0.38629583,0.29927957,0.77474195
1.8875073,1.555439,0.38629594,-0.33206832,-0.8596216
2.0592878,1.555234,0.3864308,-0.50405383,-1.3043832
2.0226138,1.5554385,0.38629594,-0.46717525,-1.2093713
1.3089525,1.5554395,0.38629603,0.24648702,0.63807803
1.532354,1.5554397,0.38629612,0.023085713,0.0597617
1.7610078,1.5554383,0.386296,-0.2055695,-0.5321554
1.6976227,1.5552287,0.38643032,-0.14239395,-0.36848545
1.3022118,1.5552332,0.38643065,0.25302148,0.65476555
1.5073888,1.5554383,0.38629583,0.04804945,0.12438511
1.2053958,1.5554383,0.38629577,0.35004246,0.9061514
1.8560215,1.5554385,0.38629583,-0.300583,-0.7781161
1.6689494,1.555234,0.38643074,-0.11371541,-0.29427114
1.2226644,1.5554386,0.38629594,0.33277428,0.86144906
1.2789708,1.5554385,0.38629594,0.27646768,0.7156888
1.4025289,1.5554385,0.386296,0.15290964,0.3958354
1.3428797,1.5554391,0.386296,0.21255946,0.55025023
1.6016347,1.5554388,0.386296,-0.046195984,-0.11958701
1.2175478,1.555234,0.38643068,0.33768618,0.87385964
1.424113,1.5552337,0.38643065,0.13112068,0.33931231
1.7297568,1.555233,0.38643065,-0.17452383,-0.4516304
0.91977113,1.555439,0.3862959,0.63566786,1.6455464
1.8215315,1.5554391,0.386296,-0.26609242,-0.6888304
1.5223708,1.5554396,0.38629603,0.033068776,0.08560475
