chirp_mass_true,chirp_mass_pred,sigma_chirp_mass_pred,snr
1.0496976,1.184934,0.26669243,
1.2689693,1.1697502,0.1138038,
1.2851,1.1612544,0.10776319,
1.3379573,1.3249338,0.09469648,
1.483733,1.521109,0.069271825,
1.7044133,1.9079175,0.09708878,
1.3649536,1.30576,0.1321712,
1.6332295,1.6757257,0.08881749,
1.8403547,1.8069832,0.39080375,
1.7090284,1.7954044,0.1354572,
1.615416,1.3380275,0.17843498,
1.2791425,1.0227872,0.20445454,
1.6374338,1.6640024,0.162959,
1.5526351,1.6162848,0.089012064,
1.3234895,1.3824394,0.16582789,
1.1045648,1.1788912,0.20146543,
1.2765977,1.2133205,0.24159549,
2.105134,1.6904776,0.3966869,
1.1569972,0.895753,0.18391252,
1.4519056,1.2470652,0.12010923,
1.9755678,2.065799,0.2882079,
1.467179,1.3435017,0.20138115,
1.5934899,1.6843874,0.0757019,
1.5430617,1.3078007,0.17496367,
1.0815814,0.9706,0.4513839,
1.4684657,1.5404865,0.06667486,
1.6975203,1.6499956,0.17680246,
1.6006858,1.5242007,0.17947894,
1.03207,1.2987583,0.41292846,
1.3625932,1.2869451,0.14349623,
1.0383582,1.5046184,0.2894416,
2.100385,1.861731,0.3269862,
1.9125218,2.0530937,0.2483171,
0.91789556,1.5931687,0.19949734,
2.145434,1.756443,0.4521007,
1.2020357,1.2593336,0.259514,
1.4252496,1.3345186,0.17910987,
1.6040058,1.6825613,0.099016786,
1.6025387,1.6256248,0.07594148,
1.4579023,1.4469008,0.15295422,
2.1686082,2.0590637,0.41575268,
1.0096681,1.4209194,0.3249266,
1.9676621,1.8840148,0.22434454,
1.3100454,1.2937208,0.099196956,
1.5349852,1.529701,0.1806175,
2.1535368,1.8045502,0.3539572,
1.3061724,1.4618719,0.18631835,
1.566824,1.7307569,0.08321591,
1.3066357,1.2194076,0.14558621,
1.3029678,1.2764124,0.16118939,
1.5919813,1.3250859,0.3393271,
1.0923182,1.1168786,0.3210624,
1.3163106,1.3901978,0.1306537,
0.94354224,1.1495333,0.4119107,
1.6992505,1.6686547,0.15310594,
1.297988,1.2815082,0.09083637,
1.0108912,1.5021536,0.15833135,
1.390782,1.2747393,0.20090275,
1.4462249,1.340259,0.081127755,
2.0238683,1.9295247,0.30472752,
1.7413965,1.7892442,0.17963418,
1.2577232,1.2425086,0.085436285,
1.0003402,0.9851545,0.40464708,
2.045904,2.5587723,0.32547954,
1.8380091,1.9145217,0.20382918,
1.8919821,1.7704802,0.32716748,
1.0255979,1.3924973,0.2420544,
1.8792257,2.051271,0.28009784,
1.569901,1.5811234,0.07906387,
1.2174888,1.1348283,0.12605727,
1.9369822,2.256351,0.12475512,
1.7220885,1.6847976,0.13308552,
1.1195823,1.1081722,0.16468273,
1.7316086,1.7340283,0.2987445,
1.006349,1.1297681,0.3814558,
1.3670183,1.2320414,0.2549264,
1.3215305,1.2274134,0.22030708,
1.6683772,1.8693726,0.14529659,
1.45939,1.5105349,0.08441334,
1.7987254,2.040527,0.2127793,
1.6640103,1.3896558,0.19945134,
1.4043683,1.641458,0.1206508,
2.092138,1.7760215,0.34316272,
1.5592456,1.5353034,0.17735505,
1.4793948,1.4907736,0.17684345,
1.5598428,1.5806326,0.066897795,
1.9249701,1.5934011,0.2722756,
1.2451878,1.161181,0.18491137,
1.7632083,1.3427383,0.30894905,
1.8347285,1.8166068,0.19217521,
1.6732734,1.8588526,0.21461682,
1.6810424,1.7061703,0.1633823,
1.6975209,1.6059971,0.16251138,
1.2724512,1.2179222,0.19775042,
1.8213545,1.6520138,0.1553864,
1.3483536,1.3106613,0.13356021,
1.3418493,1.4648497,0.13382958,
1.3731307,1.1588372,0.20180593,
1.1425048,1.1772021,0.2891716,
1.6303604,1.6446381,0.11549178,
1.7638843,1.912013,0.09505151,
1.7152629,1.6022,0.12785108,
1.3075287,1.185951,0.108745575,
1.5913677,1.6510537,0.19010878,
1.0033127,0.98988926,0.25609663,
1.5479712,1.3748434,0.16227275,
1.2583903,1.1500672,0.12876697,
1.3068306,1.1702805,0.18694054,
1.4975516,1.5791402,0.19730283,
1.4702438,1.360942,0.23781797,
1.704887,1.7211223,0.104941934,
1.7901871,1.8826883,0.19266392,
1.2709209,1.1897529,0.14447331,
1.0846233,1.1770926,0.16581897,
1.7992043,1.5682544,0.31179035,
1.6604503,1.3829918,0.21297301,
2.1561363,1.6074429,0.3572563,
1.2062497,1.2020379,0.17737132,
1.2602268,1.3777052,0.28039807,
1.4386481,1.5732164,0.08453444,
1.6360688,1.5873952,0.16116764,
1.4427931,1.4547368,0.190769,
1.0774212,1.2712417,0.27773058,
2.123825,1.5287774,0.38256082,
1.2556193,1.195883,0.09999074,
1.8130109,1.8594582,0.13307385,
1.2236524,1.1130623,0.10019015,
1.3116313,1.2879806,0.30048057,
0.9328418,1.1416624,0.3822689,
1.5885085,1.5798488,0.067746855,
1.2115997,1.1242037,0.13203436,
1.2838316,1.4252526,0.31324515,
1.0644681,1.1251018,0.27286112,
1.8925695,2.2570937,0.20886013,
1.0866053,1.1869174,0.26758847,
1.678061,1.7927262,0.08174898,
1.7481031,1.6492345,0.17661276,
1.250868,1.5024846,0.21590126,
1.5206475,1.4368715,0.15448974,
1.484067,1.522603,0.28276742,
1.3414218,1.4549887,0.09124554,
1.2122324,1.2228339,0.32018468,
1.7263533,1.8877492,0.14800003,
1.8254089,1.6060369,0.25762758,
1.4158843,1.2038219,0.20511842,
1.5391724,1.5453237,0.1476924,
1.5610855,1.6163752,0.17615524,
1.2610576,1.1385477,0.1136418,
1.7059548,1.6044205,0.17639357,
1.2108315,1.2948236,0.17076157,
2.063053,2.227232,0.37253544,
1.1135142,1.401129,0.3940411,
1.4749116,1.4055393,0.11434254,
1.3447772,1.3169081,0.30992174,
1.2786127,1.2477591,0.10035945,
1.4615566,1.543413,0.06045535,
1.2351347,0.9351269,0.13940232,
2.0682988,1.9097617,0.40271327,
