chirp_mass_true,mass_ratio_true,chirp_mass_pred,mass_ratio_pred,sigma_chirp_mass_pred,sigma_mass_ratio_pred,chirp_mass_residual,mass_ratio_residual,chirp_mass_zscore,mass_ratio_zscore,snr
1.4237347,0.7867437,1.4470432,0.8348794,0.33046457,0.13104546,0.023308516,0.048135698,0.07053257,0.3673206,13.030171
1.185729,0.79469556,1.5686455,0.81736887,0.33579457,0.14069839,0.38291645,0.022673309,1.1403295,0.16114832,7.2086816
1.3329874,0.49522406,1.5971621,0.88300526,0.4403231,0.11551734,0.2641747,0.3877812,0.59995645,3.356909,5.182878
1.1432108,0.5915834,1.5946164,0.84976315,0.3473334,0.12386392,0.45140564,0.25817978,1.2996321,2.0843825,11.259259
1.4588839,0.65264845,1.1784637,0.74804115,0.2011313,0.16242036,-0.28042018,0.095392704,-1.3942145,0.58731985,5.5610824
1.2386446,0.69752985,1.5866048,0.7668532,0.202107,0.15032922,0.34796023,0.06932336,1.7216635,0.46114364,6.1063666
1.2315522,0.71559954,1.3098437,0.80640876,0.310323,0.1448433,0.078291416,0.090809226,0.2522901,0.62694806,5.9234695
1.4221966,0.7710798,1.3323281,0.8378342,0.36271045,0.1339648,-0.089868546,0.0667544,-0.24776939,0.49829805,8.130613
1.430486,0.9330349,1.4382094,0.80232847,0.29900464,0.14422569,0.0077234507,-0.13070643,0.025830537,-0.9062632,14.830465
1.6002152,0.90565157,1.2059028,0.8580573,0.41743538,0.13126588,-0.39431238,-0.04759425,-0.944607,-0.362579,7.8961525
1.6223817,0.5943943,1.469476,0.82033944,0.3091427,0.13608262,-0.1529057,0.22594512,-0.49461204,1.6603525,5.737716
1.8116447,0.7378702,1.6883502,0.8156696,0.24266256,0.12879238,-0.12329447,0.07779938,-0.5080902,0.6040682,6.818339
1.6161082,0.71601874,1.46387,0.8068124,0.30068395,0.14141272,-0.15223813,0.09079367,-0.5063062,0.6420474,6.2786984
1.9912256,0.9203379,1.7644231,0.8828991,0.3906327,0.11030949,-0.22680247,-0.03743881,-0.5806029,-0.3393979,8.649733
1.6077652,0.7689453,1.2640647,0.8271445,0.32196862,0.13607611,-0.34370053,0.058199227,-1.067497,0.42769614,5.527286
1.4775943,0.5121934,1.3950989,0.7513349,0.20454688,0.16047373,-0.08249533,0.23914152,-0.4033077,1.4902222,19.610647
2.0062337,0.88185865,1.3738227,0.84942013,0.40282235,0.13046426,-0.632411,-0.032438517,-1.5699501,-0.2486391,7.931249
1.8449714,0.97499394,1.5825342,0.8870994,0.4246559,0.11239542,-0.26243722,-0.08789456,-0.6179997,-0.7820119,10.97391
0.95566434,0.83530456,1.2792034,0.84179187,0.36017987,0.13269292,0.32353908,0.00648731,0.89827085,0.04888965,6.644833
1.9092008,0.9193938,1.5045011,0.8835454,0.4228412,0.11552127,-0.40469968,-0.03584838,-0.95709616,-0.31031844,14.666455
1.5831754,0.8714896,1.9015872,0.90806496,0.38005453,0.101819076,0.31841183,0.036575377,0.8378056,0.3592193,9.869332
2.0177228,0.9081596,1.5642812,0.81396794,0.27892518,0.1357654,-0.45344162,-0.09419167,-1.6256747,-0.69378257,7.6178017
1.3072417,0.6567442,1.3233016,0.7297503,0.14415705,0.1596757,0.016059875,0.07300609,0.11140541,0.4572148,23.933195
1.8389145,0.8919741,1.6134825,0.8275248,0.3099131,0.1321453,-0.22543204,-0.06444931,-0.72740406,-0.48771548,6.7211514
1.9714581,0.86871314,1.821227,0.87633336,0.2858167,0.10941099,-0.15023112,0.0076202154,-0.5256205,0.069647625,8.689043
1.3781176,0.7088643,1.4140722,0.7593894,0.20634763,0.15457049,0.035954595,0.05052513,0.17424282,0.32687435,8.155799
1.9213411,0.90069383,1.4085724,0.83884305,0.35532814,0.13298947,-0.5127686,-0.061850786,-1.4430847,-0.46508035,6.794657
1.6564995,0.99121654,1.478907,0.8638553,0.4420357,0.12596634,-0.17759252,-0.12736124,-0.40176058,-1.0110736,5.3965907
1.3545752,0.6667257,1.4594007,0.77407634,0.25077665,0.15869536,0.1048255,0.10735065,0.4180034,0.6764574,7.449271
1.9145912,0.8789537,1.166454,0.7943791,0.3209917,0.15371704,-0.74813724,-0.08457458,-2.330706,-0.5501965,5.2029243
1.2834797,0.69283724,1.2493323,0.86855274,0.47228846,0.12911017,-0.03414738,0.1757155,-0.07230196,1.3609734,5.346842
1.1443495,0.5898442,1.6021118,0.82651585,0.30280015,0.13246715,0.45776236,0.23667163,1.5117639,1.7866439,5.8039026
1.573887,0.99394417,1.3353857,0.81631076,0.2862665,0.13639034,-0.23850131,-0.1776334,-0.8331443,-1.3023899,5.4384503
1.8635182,0.87864935,1.27564,0.8356697,0.34745526,0.13447478,-0.5878782,-0.042979658,-1.6919538,-0.31961128,5.7716928
1.6627643,0.6748405,1.5618196,0.8187257,0.2772563,0.13429192,-0.10094476,0.1438852,-0.36408463,1.071436,12.831423
1.5666112,0.6378011,1.2860457,0.80565184,0.32213163,0.14577964,-0.2805655,0.16785073,-0.87096536,1.1514003,5.5798917
1.3362379,0.46297616,1.1663727,0.812817,0.3408699,0.14575869,-0.16986525,0.34984082,-0.4983287,2.400137,6.681586
1.3767534,0.44884443,1.5415852,0.8458272,0.35042807,0.123598926,0.16483176,0.3969828,0.4703726,3.2118628,6.837669
1.1733266,0.8061443,1.3858625,0.82009673,0.31782493,0.1373358,0.21253586,0.013952434,0.6687199,0.10159356,12.192698
1.1166141,0.7334828,1.2747941,0.7916686,0.25039968,0.14645636,0.15818,0.058185816,0.63171005,0.39729115,5.624389
1.0568523,0.9073019,1.1958225,0.84862703,0.41485187,0.13490576,0.13897014,-0.058674872,0.33498737,-0.43493232,6.2819405
1.373976,0.70970017,1.4888256,0.74024475,0.17832789,0.16228327,0.11484957,0.030544579,0.64403594,0.18821767,16.660707
1.3893613,0.8055717,1.1294289,0.7949,0.2664688,0.14701095,-0.2599324,-0.010671675,-0.9754703,-0.07259102,5.252618
1.2524508,0.642832,1.4206057,0.8854711,0.45183688,0.116526924,0.16815484,0.24263912,0.3721583,2.082258,5.254924
1.1353984,0.88566786,1.249183,0.84170663,0.35352185,0.13125046,0.11378467,-0.043961227,0.32186037,-0.3349415,6.077293
1.4445622,0.47204807,1.392799,0.8726398,0.42054528,0.12186686,-0.051763177,0.4005917,-0.12308586,3.2871258,5.1215916
1.5843713,0.8541678,1.4206133,0.78688025,0.2812927,0.15096702,-0.16375804,-0.067287564,-0.5821624,-0.44571036,10.801869
1.2686806,0.5576096,1.4120693,0.8655181,0.43519506,0.1259457,0.14338875,0.30790848,0.32948157,2.4447715,6.545099
1.5274037,0.5392662,1.8109245,0.8906313,0.3572511,0.10379076,0.28352082,0.3513651,0.7936177,3.3853214,6.37423
1.5900514,0.6116167,1.470358,0.8167461,0.32951808,0.1385157,-0.1196934,0.20512944,-0.36323774,1.4809111,12.782819
1.226355,0.61392456,1.3164177,0.80456114,0.29733926,0.144072,0.09006274,0.19063658,0.30289555,1.3232036,6.449269
1.2417165,0.8473119,1.1895545,0.7947326,0.27678612,0.14735577,-0.05216205,-0.052579343,-0.18845616,-0.35681903,10.501115
1.6228628,0.6822733,1.2982383,0.83862776,0.41631874,0.13842109,-0.32462454,0.15635443,-0.77975,1.1295564,5.46603
1.4422629,0.8114901,1.1915483,0.79725885,0.29254523,0.14929067,-0.25071454,-0.014231265,-0.8570112,-0.09532588,8.627554
1.3718369,0.7694496,2.1408095,0.9619105,0.28021806,0.07175364,0.76897264,0.1924609,2.7441936,2.6822455,5.3817415
1.8940209,0.83497316,1.4536285,0.807297,0.32414395,0.14548159,-0.44039237,-0.027676165,-1.3586321,-0.19023827,5.4852786
1.3036631,0.87010455,1.2892537,0.75851554,0.23007429,0.16104983,-0.014409423,-0.111589015,-0.06262944,-0.69288504,5.162935
1.4449258,0.49800608,1.44925,0.8532734,0.38130358,0.12776351,0.004324198,0.35526732,0.011340564,2.7806635,8.229206
1.3586162,0.821862,1.3272054,0.8240679,0.32520357,0.13648844,-0.031410813,0.0022059083,-0.09658816,0.01616187,10.10409
2.007715,0.9045887,1.3073792,0.80649835,0.28678948,0.14238402,-0.70033574,-0.09809035,-2.4419856,-0.688914,5.39843
1.3500191,0.6682984,1.382549,0.8166572,0.34923196,0.14214107,0.03252995,0.14835876,0.093147114,1.0437431,5.60371
1.7703296,0.8797483,1.3866963,0.84685373,0.40571,0.13229653,-0.38363326,-0.03289455,-0.9455849,-0.24864258,6.354972
1.5352547,0.82675254,1.4841275,0.81325126,0.33304533,0.1427894,-0.051127195,-0.0135012865,-0.15351422,-0.09455385,5.3497443
1.2278762,0.50571924,1.2909188,0.77824986,0.28727847,0.15722057,0.06304264,0.27253062,0.21944784,1.7334285,5.1194634
