chirp_mass_true,mass_ratio_true,chirp_mass_pred,mass_ratio_pred,sigma_chirp_mass_pred,sigma_mass_ratio_pred,chirp_mass_residual,mass_ratio_residual,chirp_mass_zscore,mass_ratio_zscore,snr
2.1458988,0.9774139,2.251149,0.9919189,0.08273673,0.07263503,0.10525012,0.014505029,1.2721088,0.19969742,19.400581
2.0618968,0.9954392,1.195641,0.83416,0.38073537,0.12762457,-0.86625576,-0.1612792,-2.2752175,-1.2637002,9.431093
1.0130603,0.8093598,1.6936052,0.89866084,0.43647248,0.10222916,0.68054485,0.08930105,1.559193,0.8735379,9.959387
0.9647703,0.940341,1.0497391,0.8640101,0.28612012,0.12429903,0.084968805,-0.0763309,0.296969,-0.6140909,13.382968
2.0350761,0.93623567,1.7848532,0.9185772,0.58050084,0.100298755,-0.25022292,-0.017658472,-0.4310466,-0.17605874,15.317069
1.1085069,0.928061,1.1288793,0.823855,0.2416802,0.1322754,0.02037239,-0.104206026,0.084294826,-0.78779596,11.716138
2.0068035,0.9796947,1.8465858,0.95376086,0.29457086,0.089097,-0.16021776,-0.025933862,-0.5439023,-0.29107445,12.947705
1.6724272,0.7515255,1.6782875,0.79305226,0.041883048,0.109378785,0.0058603287,0.041526735,0.13992126,0.37965986,15.582207
1.7989883,0.9014808,1.8708113,0.89294124,0.16503716,0.09731193,0.071823,-0.008539557,0.4351929,-0.08775448,12.044119
2.12499,0.9572991,2.219831,1.0247351,0.11238911,0.069874324,0.094841,0.06743598,0.84386295,0.96510386,15.506523
1.8184342,0.7356062,1.9267354,0.8822567,0.03596888,0.089808755,0.10830116,0.1466505,3.0109684,1.6329198,19.807999
1.826513,0.78242534,1.8754029,0.8610455,0.037694626,0.093439095,0.048889875,0.078620136,1.2969986,0.84140515,19.06245
1.115262,0.8560811,1.1207876,0.8003537,0.14778803,0.13845667,0.005525589,-0.055727422,0.037388608,-0.40248996,11.54449
0.9834204,0.85638,1.310751,0.85715586,0.41113168,0.118939914,0.3273306,0.00077587366,0.7961697,0.0065232404,15.214882
1.7407908,0.7823224,1.7554668,0.8397621,0.17758162,0.11021362,0.014675975,0.057439685,0.082643546,0.52116686,14.788096
1.4892085,0.5668787,1.3943367,0.8219869,0.33023778,0.122797735,-0.09487176,0.25510824,-0.28728318,2.077467,10.030854
2.1200657,0.96712637,2.034556,0.93848467,0.25668696,0.088795416,-0.08550978,-0.0286417,-0.33312863,-0.3225583,18.273989
1.0936993,0.92449,1.5570911,0.81310296,0.17599791,0.117311284,0.46339178,-0.111387014,2.632939,-0.94949955,16.269855
1.0609004,0.7077022,1.2300649,0.85699177,0.427098,0.12210362,0.16916442,0.14928955,0.3960787,1.2226464,8.649769
1.993888,0.930737,2.0391345,0.96700644,0.20969176,0.08242842,0.045246482,0.036269426,0.21577615,0.4400112,17.997845
1.3526073,0.99149513,1.3129466,0.7526895,0.062317465,0.13642217,-0.039660692,-0.23880565,-0.6364298,-1.7504901,15.746482
2.013121,0.92957044,2.0075245,0.9449742,0.31710735,0.089687206,-0.0055963993,0.015403748,-0.01764828,0.17174967,11.806032
0.9793768,0.8067732,1.0803003,0.8694756,0.40546212,0.12499357,0.10092354,0.06270242,0.2489099,0.50164515,11.435876
1.5536587,0.53270054,1.5987302,0.78680086,0.07234597,0.11562055,0.045071483,0.25410032,0.6229992,2.1977088,18.060768
1.3350041,0.50203323,1.4068913,0.7997439,0.3327608,0.13143422,0.071887255,0.29771066,0.21603282,2.2650924,9.087081
1.32335,0.89735675,1.3252087,0.70214176,0.023915457,0.13947843,0.0018587112,-0.19521499,0.07772008,-1.399607,19.74982
2.0162003,0.9786302,1.2367063,0.8359523,0.3366576,0.12616707,-0.77949405,-0.1426779,-2.315391,-1.1308649,9.3316555
1.4597911,0.9976866,1.33339,0.82247716,0.30049056,0.1268954,-0.12640107,-0.17520946,-0.42064905,-1.3807393,9.030766
1.7779756,0.9354503,1.6632708,0.85743695,0.2546376,0.10923759,-0.11470473,-0.07801336,-0.45046264,-0.71416223,13.691647
1.9521574,0.99096644,2.0563693,0.9353423,0.04236391,0.07908017,0.10421193,-0.055624127,2.4599223,-0.70338905,18.501017
1.3649399,0.7514349,1.3592317,0.7251562,0.041782442,0.13673423,-0.0057082176,-0.026278734,-0.13661762,-0.19218841,18.168125
2.0896523,0.9759617,1.6796396,0.90354776,0.48664021,0.102271184,-0.41001272,-0.07241392,-0.8425377,-0.70805794,14.562885
1.8021288,0.8184359,1.8769348,0.8669325,0.041568995,0.09259023,0.074805975,0.048496604,1.7995619,0.5237767,17.190262
1.853548,0.77938783,1.9043527,0.89823043,0.11450596,0.09271479,0.050804615,0.1188426,0.44368532,1.2818085,15.506912
1.7987621,0.78644276,1.7595379,0.86740506,0.12532817,0.09962462,-0.039224148,0.0809623,-0.31297153,0.8126736,16.209991
1.0213718,0.8083757,1.0899277,0.8169434,0.15769358,0.13307233,0.06855583,0.008567691,0.43474078,0.064383715,19.058558
1.8654048,0.99129176,1.8240564,0.88753355,0.24101272,0.10010206,-0.041348457,-0.103758216,-0.1715613,-1.0365243,10.973779
1.1960309,0.7969964,1.2219911,0.7836585,0.19620487,0.13489175,0.025960207,-0.01333791,0.13231173,-0.09887862,12.12979
1.510586,0.57690847,1.5833931,0.78549594,0.1358022,0.12228856,0.07280707,0.20858747,0.5361259,1.705699,16.115095
1.3979464,0.7144317,1.4168723,0.72755694,0.038260233,0.13296157,0.018925905,0.013125241,0.49466258,0.098714545,17.93038
2.0271401,0.9940957,2.0438316,0.92120874,0.06766682,0.084894635,0.016691446,-0.072886944,0.24667105,-0.8585577,16.466383
1.215875,0.6549156,1.2702546,0.7673445,0.15860191,0.1372435,0.054379582,0.1124289,0.3428684,0.81919295,17.910616
2.1490636,0.98363245,2.2319763,0.9788549,0.053700846,0.073393114,0.08291268,-0.0047775507,1.5439736,-0.06509535,19.168545
1.5568683,0.9261607,1.5775104,0.7338158,0.020261554,0.120856956,0.020642042,-0.1923449,1.0187788,-1.5915087,19.162102
1.6348331,0.78050804,1.4949969,0.829332,0.20923738,0.11527071,-0.13983619,0.048823953,-0.6683136,0.42355904,17.302727
1.971784,0.9188262,1.5324221,0.83546877,0.3311043,0.11623973,-0.43936193,-0.08335745,-1.3269593,-0.7171167,14.84781
0.9596057,0.93373823,1.3606372,0.8807899,0.5715003,0.11379305,0.4010315,-0.052948356,0.701717,-0.46530393,13.876964
1.6130723,0.71862775,1.3631461,0.811858,0.33725154,0.12465415,-0.24992621,0.09323025,-0.74106765,0.7479113,12.83029
1.1981748,0.7982851,1.0993725,0.7871108,0.08927631,0.1387889,-0.09880233,-0.011174321,-1.1067027,-0.08051308,15.658343
1.6560218,0.8407887,1.5886658,0.7981219,0.13016336,0.1170775,-0.06735599,-0.042666793,-0.51747274,-0.36443204,13.571981
1.4481308,0.8718003,1.4602302,0.70869637,0.026340177,0.13208415,0.012099385,-0.16310394,0.45935094,-1.2348487,18.835388
1.7463832,0.9178643,1.5377738,0.8529963,0.3444209,0.11289952,-0.20860934,-0.06486803,-0.6056814,-0.5745643,10.899913
1.3189874,0.63729006,1.1009712,0.8355527,0.16834006,0.12961505,-0.21801615,0.19826263,-1.2950937,1.5296266,14.072869
1.79251,0.9258032,1.7670691,0.8728287,0.2084312,0.103041,-0.025440931,-0.052974463,-0.12205913,-0.5141105,14.218989
1.7331259,0.93974936,1.747571,0.85144526,0.10739037,0.102246076,0.014445066,-0.0883041,0.13450989,-0.86364293,15.888788
0.9378373,0.93318486,1.0838225,0.9073467,0.285,0.11931286,0.14598519,-0.025838137,0.5122287,-0.21655785,19.290567
1.5525718,0.69160223,1.5275104,0.83707035,0.35787982,0.11733612,-0.025061369,0.14546812,-0.07002733,1.2397556,15.903889
1.420429,0.7766652,1.4101201,0.72377014,0.048810463,0.13505152,-0.010308862,-0.05289507,-0.21120188,-0.39166585,14.74337
0.9587879,0.9171537,1.0131078,0.85103464,0.20144318,0.12891573,0.05431986,-0.066119075,0.2696535,-0.51288605,8.352082
1.4560931,0.71464753,1.3794891,0.7535554,0.08557357,0.13252138,-0.07660401,0.038907886,-0.895183,0.29359704,17.399147
2.0087075,0.9502162,1.9789402,0.9536464,0.34882885,0.086108655,-0.029767275,0.0034302473,-0.0853349,0.039836265,9.960872
2.055756,0.89977497,2.1123857,0.976287,0.19432391,0.07961655,0.056629658,0.07651204,0.29141888,0.96100676,10.49486
1.3851709,0.8415651,1.3601286,0.7200384,0.038120087,0.13577445,-0.025042295,-0.12152666,-0.65693176,-0.8950628,15.524073
1.8405983,0.7468784,1.881656,0.92520356,0.29712486,0.09188534,0.041057706,0.17832518,0.13818334,1.9407358,11.673769
1.5452867,0.5413606,1.6146476,0.8145058,0.1497154,0.11775569,0.06936097,0.2731452,0.4632855,2.3195925,11.489183
1.5304809,0.75635767,1.5189621,0.75924075,0.068848155,0.1248124,-0.011518717,0.0028830767,-0.16730611,0.02309928,17.248373
1.6654682,0.74389344,1.3483857,0.8568806,0.39349025,0.119590044,-0.31708252,0.11298716,-0.8058205,0.9447873,11.57922
1.5373094,0.5437882,1.5389767,0.8101901,0.17151032,0.11940199,0.0016672611,0.2664019,0.009721054,2.2311344,16.926058
0.94622153,0.9209968,1.1032225,0.8413937,0.2542379,0.12895726,0.15700096,-0.079603076,0.61753565,-0.6172826,16.401142
2.0680604,0.9430193,2.0526283,0.9497423,0.31405813,0.08558362,-0.015432119,0.0067230463,-0.049137782,0.07855529,13.986297
1.4573083,0.773299,1.4147053,0.76188165,0.106813155,0.1312592,-0.042603016,-0.011417329,-0.3988555,-0.08698308,16.06519
1.5982635,0.6999675,1.6985564,0.7914393,0.03211536,0.10976747,0.10029292,0.09147179,3.122896,0.83332336,18.78224
1.4618431,0.82349306,1.4710034,0.85678685,0.37237048,0.11463255,0.00916028,0.033293784,0.02459991,0.2904392,12.164619
1.3758411,0.85048246,1.21933,0.817358,0.32554334,0.128504,-0.15651119,-0.033124447,-0.48076913,-0.2577698,8.793681
2.09062,0.92428493,2.175533,0.9917799,0.11238169,0.07415997,0.084913015,0.06749499,0.75557697,0.9101269,16.77356
2.1572247,0.99482524,1.6055403,0.88823014,0.4973746,0.10601799,-0.5516844,-0.1065951,-1.109193,-1.0054435,12.9457
1.7617178,0.778767,1.4458222,0.8509898,0.36785918,0.11923886,-0.31589556,0.07222283,-0.85874045,0.60569876,8.770573
1.0889874,0.6954827,1.3581266,0.87992835,0.50794077,0.11379776,0.2691393,0.18444568,0.52986354,1.6208199,13.277135
1.8253886,0.7583393,1.8259281,0.8474144,0.08926127,0.10154987,0.00053954124,0.08907509,0.006044517,0.8771561,14.216467
1.6383382,0.9850842,1.8620965,0.8787364,0.14078213,0.097577736,0.22375834,-0.1063478,1.5893945,-1.0898777,15.515028
1.5549878,0.8072132,1.3902822,0.81274694,0.29280528,0.12726814,-0.16470563,0.005533755,-0.5625091,0.04348107,14.3097105
1.7140474,0.6667387,1.5143275,0.83582634,0.30417347,0.118068695,-0.1997199,0.16908765,-0.6565987,1.4321125,11.344965
